"created","id_sensor","type","unit","value"
"2020-06-05T13:35:28.000Z","humidity_sensor","humidity_min","%",57.04
"2020-07-01T00:00:13.000Z","humidity_sensor","humidity_min","%",93.71
"2020-07-01T00:05:14.000Z","humidity_sensor","humidity_min","%",93.75
"2020-07-01T00:10:13.000Z","humidity_sensor","humidity_min","%",93.66
"2020-07-01T00:15:15.000Z","humidity_sensor","humidity_min","%",93.7
"2020-07-01T00:20:13.000Z","humidity_sensor","humidity_min","%",93.72
"2020-07-01T00:25:13.000Z","humidity_sensor","humidity_min","%",93.8
"2020-07-01T00:30:28.000Z","humidity_sensor","humidity_min","%",93.91
"2020-07-01T00:35:15.000Z","humidity_sensor","humidity_min","%",93.87
"2020-07-01T00:40:13.000Z","humidity_sensor","humidity_min","%",93.99
"2020-07-01T00:45:13.000Z","humidity_sensor","humidity_min","%",94.07
"2020-07-01T00:50:14.000Z","humidity_sensor","humidity_min","%",94.08
"2020-07-01T00:55:13.000Z","humidity_sensor","humidity_min","%",94.14
"2020-07-01T01:00:14.000Z","humidity_sensor","humidity_min","%",94.13
"2020-07-01T01:05:14.000Z","humidity_sensor","humidity_min","%",94.16
"2020-07-01T01:10:13.000Z","humidity_sensor","humidity_min","%",94.23
"2020-07-01T01:15:14.000Z","humidity_sensor","humidity_min","%",94.17
"2020-07-01T01:20:13.000Z","humidity_sensor","humidity_min","%",94.16
"2020-07-01T01:25:15.000Z","humidity_sensor","humidity_min","%",94.21
"2020-07-01T01:30:12.000Z","humidity_sensor","humidity_min","%",94.14
"2020-07-01T01:35:14.000Z","humidity_sensor","humidity_min","%",94.06
"2020-07-01T01:40:13.000Z","humidity_sensor","humidity_min","%",94.19
"2020-07-01T01:45:15.000Z","humidity_sensor","humidity_min","%",94.33
"2020-07-01T01:50:13.000Z","humidity_sensor","humidity_min","%",94.22
"2020-07-01T01:55:13.000Z","humidity_sensor","humidity_min","%",94.35
"2020-07-01T02:00:14.000Z","humidity_sensor","humidity_min","%",94.41
"2020-07-01T02:05:13.000Z","humidity_sensor","humidity_min","%",94.48
"2020-07-01T02:10:14.000Z","humidity_sensor","humidity_min","%",94.47
"2020-07-01T02:15:13.000Z","humidity_sensor","humidity_min","%",94.51
"2020-07-01T02:20:15.000Z","humidity_sensor","humidity_min","%",94.59
"2020-07-01T02:25:13.000Z","humidity_sensor","humidity_min","%",94.57
"2020-07-01T02:30:13.000Z","humidity_sensor","humidity_min","%",94.57
"2020-07-01T02:35:14.000Z","humidity_sensor","humidity_min","%",94.65
"2020-07-01T02:40:15.000Z","humidity_sensor","humidity_min","%",94.78
"2020-07-01T02:45:15.000Z","humidity_sensor","humidity_min","%",94.87
"2020-07-01T02:50:12.000Z","humidity_sensor","humidity_min","%",94.91
"2020-07-01T02:55:15.000Z","humidity_sensor","humidity_min","%",94.83
"2020-07-01T03:00:12.000Z","humidity_sensor","humidity_min","%",94.77
"2020-07-01T03:05:15.000Z","humidity_sensor","humidity_min","%",94.77
"2020-07-01T03:10:28.000Z","humidity_sensor","humidity_min","%",94.84
"2020-07-01T03:15:14.000Z","humidity_sensor","humidity_min","%",94.83
"2020-07-01T03:20:13.000Z","humidity_sensor","humidity_min","%",94.75
"2020-07-01T03:25:13.000Z","humidity_sensor","humidity_min","%",94.74
"2020-07-01T03:30:15.000Z","humidity_sensor","humidity_min","%",94.72
"2020-07-01T03:35:12.000Z","humidity_sensor","humidity_min","%",94.74
"2020-07-01T03:40:15.000Z","humidity_sensor","humidity_min","%",94.75
"2020-07-01T03:45:13.000Z","humidity_sensor","humidity_min","%",94.81
"2020-07-01T03:50:13.000Z","humidity_sensor","humidity_min","%",94.78
"2020-07-01T03:55:14.000Z","humidity_sensor","humidity_min","%",94.75
"2020-07-01T04:00:13.000Z","humidity_sensor","humidity_min","%",94.79
"2020-07-01T04:05:14.000Z","humidity_sensor","humidity_min","%",94.82
"2020-07-01T04:10:13.000Z","humidity_sensor","humidity_min","%",94.88
"2020-07-01T04:15:14.000Z","humidity_sensor","humidity_min","%",94.84
"2020-07-01T04:20:13.000Z","humidity_sensor","humidity_min","%",94.87
"2020-07-01T04:25:15.000Z","humidity_sensor","humidity_min","%",94.91
"2020-07-01T04:30:13.000Z","humidity_sensor","humidity_min","%",94.85
"2020-07-01T04:35:13.000Z","humidity_sensor","humidity_min","%",94.87
"2020-07-01T04:40:15.000Z","humidity_sensor","humidity_min","%",94.89
"2020-07-01T04:45:13.000Z","humidity_sensor","humidity_min","%",94.72
"2020-07-01T04:50:13.000Z","humidity_sensor","humidity_min","%",94.6
"2020-07-01T04:55:14.000Z","humidity_sensor","humidity_min","%",94.32
"2020-07-01T05:00:13.000Z","humidity_sensor","humidity_min","%",94.48
"2020-07-01T05:05:15.000Z","humidity_sensor","humidity_min","%",94.25
"2020-07-01T05:10:13.000Z","humidity_sensor","humidity_min","%",94.25
"2020-07-01T05:15:13.000Z","humidity_sensor","humidity_min","%",94.31
"2020-07-01T05:20:13.000Z","humidity_sensor","humidity_min","%",94.26
"2020-07-01T05:25:14.000Z","humidity_sensor","humidity_min","%",93.76
"2020-07-01T05:30:14.000Z","humidity_sensor","humidity_min","%",93.67
"2020-07-01T05:35:13.000Z","humidity_sensor","humidity_min","%",93.08
"2020-07-01T05:40:14.000Z","humidity_sensor","humidity_min","%",92.51
"2020-07-01T05:45:13.000Z","humidity_sensor","humidity_min","%",91.81
"2020-07-01T05:50:15.000Z","humidity_sensor","humidity_min","%",91.22
"2020-07-01T05:55:13.000Z","humidity_sensor","humidity_min","%",90.45
"2020-07-01T06:00:13.000Z","humidity_sensor","humidity_min","%",89.4
"2020-07-01T06:05:13.000Z","humidity_sensor","humidity_min","%",88.48
"2020-07-01T06:10:15.000Z","humidity_sensor","humidity_min","%",88.18
"2020-07-01T06:15:13.000Z","humidity_sensor","humidity_min","%",86.73
"2020-07-01T06:20:13.000Z","humidity_sensor","humidity_min","%",85.35
"2020-07-01T06:25:31.000Z","humidity_sensor","humidity_min","%",84.4
"2020-07-01T06:30:12.000Z","humidity_sensor","humidity_min","%",81.67
"2020-07-01T06:35:14.000Z","humidity_sensor","humidity_min","%",78.58
"2020-07-01T06:40:13.000Z","humidity_sensor","humidity_min","%",76.62
"2020-07-01T06:45:15.000Z","humidity_sensor","humidity_min","%",75.63
"2020-07-01T06:50:14.000Z","humidity_sensor","humidity_min","%",77.01
"2020-07-01T06:55:12.000Z","humidity_sensor","humidity_min","%",74.85
"2020-07-01T07:00:13.000Z","humidity_sensor","humidity_min","%",73.19
"2020-07-01T07:05:14.000Z","humidity_sensor","humidity_min","%",71.13
"2020-07-01T07:10:14.000Z","humidity_sensor","humidity_min","%",72.38
"2020-07-01T07:15:16.000Z","humidity_sensor","humidity_min","%",70.7
"2020-07-01T07:20:13.000Z","humidity_sensor","humidity_min","%",70.27
"2020-07-01T07:25:13.000Z","humidity_sensor","humidity_min","%",68.4
"2020-07-01T07:30:16.000Z","humidity_sensor","humidity_min","%",67.32
"2020-07-01T07:35:23.000Z","humidity_sensor","humidity_min","%",67.23
"2020-07-01T07:40:12.000Z","humidity_sensor","humidity_min","%",65.8
"2020-07-01T07:45:14.000Z","humidity_sensor","humidity_min","%",63.89
"2020-07-01T07:45:14.000Z","humidity_sensor","humidity_min","%",63.89
"2020-07-01T07:50:13.000Z","humidity_sensor","humidity_min","%",63.14
"2020-07-01T07:55:31.000Z","humidity_sensor","humidity_min","%",62.85
"2020-07-01T08:00:12.000Z","humidity_sensor","humidity_min","%",62.25
"2020-07-01T08:05:15.000Z","humidity_sensor","humidity_min","%",64.67
"2020-07-01T08:10:13.000Z","humidity_sensor","humidity_min","%",62.53
"2020-07-01T08:15:13.000Z","humidity_sensor","humidity_min","%",61.24
"2020-07-01T08:20:14.000Z","humidity_sensor","humidity_min","%",61.06
"2020-07-01T08:25:13.000Z","humidity_sensor","humidity_min","%",60.57
"2020-07-01T08:30:14.000Z","humidity_sensor","humidity_min","%",60.71
"2020-07-01T08:35:13.000Z","humidity_sensor","humidity_min","%",60.51
"2020-07-01T08:40:19.000Z","humidity_sensor","humidity_min","%",59.24
"2020-07-01T08:45:15.000Z","humidity_sensor","humidity_min","%",59.66
"2020-07-01T08:50:13.000Z","humidity_sensor","humidity_min","%",58.08
"2020-07-01T08:55:13.000Z","humidity_sensor","humidity_min","%",59.79
"2020-07-01T09:05:13.000Z","humidity_sensor","humidity_min","%",57.62
"2020-07-01T09:10:13.000Z","humidity_sensor","humidity_min","%",56.79
"2020-07-01T09:15:28.000Z","humidity_sensor","humidity_min","%",54.11
"2020-07-01T09:20:15.000Z","humidity_sensor","humidity_min","%",53.55
"2020-07-01T09:25:13.000Z","humidity_sensor","humidity_min","%",53.02
"2020-07-01T09:30:13.000Z","humidity_sensor","humidity_min","%",54.09
"2020-07-01T09:35:14.000Z","humidity_sensor","humidity_min","%",53.82
"2020-07-01T09:40:15.000Z","humidity_sensor","humidity_min","%",53.43
"2020-07-01T09:45:12.000Z","humidity_sensor","humidity_min","%",52.59
"2020-07-01T09:50:14.000Z","humidity_sensor","humidity_min","%",52.7
"2020-07-01T09:55:13.000Z","humidity_sensor","humidity_min","%",51.11
"2020-07-01T10:00:15.000Z","humidity_sensor","humidity_min","%",51.5
"2020-07-01T10:05:12.000Z","humidity_sensor","humidity_min","%",50.24
"2020-07-01T10:10:14.000Z","humidity_sensor","humidity_min","%",50.43
"2020-07-01T10:15:13.000Z","humidity_sensor","humidity_min","%",51.84
"2020-07-01T10:20:14.000Z","humidity_sensor","humidity_min","%",52.62
"2020-07-01T10:25:14.000Z","humidity_sensor","humidity_min","%",51.65
"2020-07-01T10:30:13.000Z","humidity_sensor","humidity_min","%",52.16
"2020-07-01T10:35:15.000Z","humidity_sensor","humidity_min","%",51.86
"2020-07-01T10:40:13.000Z","humidity_sensor","humidity_min","%",50.09
"2020-07-01T10:45:13.000Z","humidity_sensor","humidity_min","%",51.78
"2020-07-01T10:50:13.000Z","humidity_sensor","humidity_min","%",52.45
"2020-07-01T10:55:16.000Z","humidity_sensor","humidity_min","%",50.34
