"created","id_sensor","type","unit","value"
"2020-06-05T13:35:28.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T00:00:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T00:05:14.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T00:10:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T00:15:15.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T00:20:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T00:25:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T00:30:28.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T00:35:15.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T00:40:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T00:45:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T00:50:14.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T00:55:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T01:00:14.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T01:05:14.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T01:10:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T01:15:14.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T01:20:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T01:25:15.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T01:30:12.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T01:35:14.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T01:40:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T01:45:15.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T01:50:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T01:55:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T02:00:14.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T02:05:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T02:10:14.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T02:15:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T02:20:15.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T02:25:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T02:30:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T02:35:14.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T02:40:15.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T02:45:15.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T02:50:12.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T02:55:15.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T03:00:12.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T03:05:15.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T03:10:28.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T03:15:14.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T03:20:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T03:25:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T03:30:15.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T03:35:12.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T03:40:15.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T03:45:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T03:50:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T03:55:14.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T04:00:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T04:05:14.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T04:10:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T04:15:14.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T04:20:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T04:25:15.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T04:30:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T04:35:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T04:40:15.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T04:45:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T04:50:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T04:55:14.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T05:00:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T05:05:15.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T05:10:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T05:15:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T05:20:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T05:25:14.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T05:30:14.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T05:35:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T05:40:14.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T05:45:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T05:50:15.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T05:55:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T06:00:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T06:05:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T06:10:15.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T06:15:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T06:20:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T06:25:31.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T06:30:12.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T06:35:14.000Z","anemometer","wind_speed_min","km/h",1.1
"2020-07-01T06:40:13.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T06:45:15.000Z","anemometer","wind_speed_min","km/h",0
"2020-07-01T06:50:14.000Z","anemometer","wind_speed_min","km/h",0.64
"2020-07-01T06:55:12.000Z","anemometer","wind_speed_min","km/h",0.01
"2020-07-01T07:00:13.000Z","anemometer","wind_speed_min","km/h",0.17
"2020-07-01T07:05:14.000Z","anemometer","wind_speed_min","km/h",0.04
"2020-07-01T07:10:14.000Z","anemometer","wind_speed_min","km/h",0.09
"2020-07-01T07:15:16.000Z","anemometer","wind_speed_min","km/h",0.04
"2020-07-01T07:20:13.000Z","anemometer","wind_speed_min","km/h",0.17
"2020-07-01T07:25:13.000Z","anemometer","wind_speed_min","km/h",0.05
"2020-07-01T07:30:16.000Z","anemometer","wind_speed_min","km/h",0.54
"2020-07-01T07:35:23.000Z","anemometer","wind_speed_min","km/h",0.74
"2020-07-01T07:40:12.000Z","anemometer","wind_speed_min","km/h",0.05
"2020-07-01T07:45:14.000Z","anemometer","wind_speed_min","km/h",0.96
"2020-07-01T07:45:14.000Z","anemometer","wind_speed_min","km/h",0.96
"2020-07-01T07:50:13.000Z","anemometer","wind_speed_min","km/h",0.02
"2020-07-01T07:55:31.000Z","anemometer","wind_speed_min","km/h",0.4
"2020-07-01T08:00:12.000Z","anemometer","wind_speed_min","km/h",0.03
"2020-07-01T08:05:15.000Z","anemometer","wind_speed_min","km/h",0.22
"2020-07-01T08:10:13.000Z","anemometer","wind_speed_min","km/h",0.27
"2020-07-01T08:15:13.000Z","anemometer","wind_speed_min","km/h",0.56
"2020-07-01T08:20:14.000Z","anemometer","wind_speed_min","km/h",0.14
"2020-07-01T08:25:13.000Z","anemometer","wind_speed_min","km/h",0.07
"2020-07-01T08:30:14.000Z","anemometer","wind_speed_min","km/h",0.06
"2020-07-01T08:35:13.000Z","anemometer","wind_speed_min","km/h",0.9
"2020-07-01T08:40:19.000Z","anemometer","wind_speed_min","km/h",0.51
"2020-07-01T08:45:15.000Z","anemometer","wind_speed_min","km/h",0.49
"2020-07-01T08:50:13.000Z","anemometer","wind_speed_min","km/h",0.15
"2020-07-01T08:55:13.000Z","anemometer","wind_speed_min","km/h",0.04
"2020-07-01T09:05:13.000Z","anemometer","wind_speed_min","km/h",0.46
"2020-07-01T09:10:13.000Z","anemometer","wind_speed_min","km/h",0.25
"2020-07-01T09:15:28.000Z","anemometer","wind_speed_min","km/h",0.01
"2020-07-01T09:20:15.000Z","anemometer","wind_speed_min","km/h",1.5
"2020-07-01T09:25:13.000Z","anemometer","wind_speed_min","km/h",1.46
"2020-07-01T09:30:13.000Z","anemometer","wind_speed_min","km/h",0.22
"2020-07-01T09:35:14.000Z","anemometer","wind_speed_min","km/h",1.28
"2020-07-01T09:40:15.000Z","anemometer","wind_speed_min","km/h",0.09
"2020-07-01T09:45:12.000Z","anemometer","wind_speed_min","km/h",1.07
"2020-07-01T09:50:14.000Z","anemometer","wind_speed_min","km/h",1.72
"2020-07-01T09:55:13.000Z","anemometer","wind_speed_min","km/h",0.72
"2020-07-01T10:00:15.000Z","anemometer","wind_speed_min","km/h",1.33
"2020-07-01T10:05:12.000Z","anemometer","wind_speed_min","km/h",0.32
"2020-07-01T10:10:14.000Z","anemometer","wind_speed_min","km/h",0.19
"2020-07-01T10:15:13.000Z","anemometer","wind_speed_min","km/h",0.7
"2020-07-01T10:20:14.000Z","anemometer","wind_speed_min","km/h",0.09
"2020-07-01T10:25:14.000Z","anemometer","wind_speed_min","km/h",0.03
"2020-07-01T10:30:13.000Z","anemometer","wind_speed_min","km/h",0.03
"2020-07-01T10:35:15.000Z","anemometer","wind_speed_min","km/h",0.34
"2020-07-01T10:40:13.000Z","anemometer","wind_speed_min","km/h",0.33
"2020-07-01T10:45:13.000Z","anemometer","wind_speed_min","km/h",1.36
"2020-07-01T10:50:13.000Z","anemometer","wind_speed_min","km/h",1.92
"2020-07-01T10:55:16.000Z","anemometer","wind_speed_min","km/h",0.2
"2020-07-01T11:00:14.000Z","anemometer","wind_speed_min","km/h",1.13
"2020-07-01T11:05:13.000Z","anemometer","wind_speed_min","km/h",3.39
"2020-07-01T11:10:14.000Z","anemometer","wind_speed_min","km/h",0.54
"2020-07-01T11:15:13.000Z","anemometer","wind_speed_min","km/h",0.24
"2020-07-01T11:20:31.000Z","anemometer","wind_speed_min","km/h",0.91
"2020-07-01T11:25:12.000Z","anemometer","wind_speed_min","km/h",0.72
"2020-07-01T11:30:14.000Z","anemometer","wind_speed_min","km/h",1.25
"2020-07-01T11:35:13.000Z","anemometer","wind_speed_min","km/h",1.18
"2020-07-01T11:40:14.000Z","anemometer","wind_speed_min","km/h",2.59
"2020-07-01T11:45:14.000Z","anemometer","wind_speed_min","km/h",2.03
"2020-07-01T11:50:13.000Z","anemometer","wind_speed_min","km/h",0.63
"2020-07-01T11:55:14.000Z","anemometer","wind_speed_min","km/h",1.32
"2020-07-01T12:00:13.000Z","anemometer","wind_speed_min","km/h",1.02
"2020-07-01T12:05:15.000Z","anemometer","wind_speed_min","km/h",2.91
"2020-07-01T12:10:13.000Z","anemometer","wind_speed_min","km/h",1.52
"2020-07-01T12:15:12.000Z","anemometer","wind_speed_min","km/h",2.27
"2020-07-01T12:20:14.000Z","anemometer","wind_speed_min","km/h",2.1
"2020-07-01T12:25:14.000Z","anemometer","wind_speed_min","km/h",3.19
"2020-07-01T12:30:14.000Z","anemometer","wind_speed_min","km/h",1.36
"2020-07-01T12:35:13.000Z","anemometer","wind_speed_min","km/h",2.79
"2020-07-01T12:40:22.000Z","anemometer","wind_speed_min","km/h",1.67
"2020-07-01T12:45:13.000Z","anemometer","wind_speed_min","km/h",1.28
"2020-07-01T12:50:14.000Z","anemometer","wind_speed_min","km/h",0.2
"2020-07-01T12:55:13.000Z","anemometer","wind_speed_min","km/h",1.65
"2020-07-01T13:00:15.000Z","anemometer","wind_speed_min","km/h",2.61
"2020-07-01T13:05:13.000Z","anemometer","wind_speed_min","km/h",0.4
"2020-07-01T13:10:13.000Z","anemometer","wind_speed_min","km/h",0.96
"2020-07-01T13:15:13.000Z","anemometer","wind_speed_min","km/h",1.91
"2020-07-01T13:20:14.000Z","anemometer","wind_speed_min","km/h",1.53
"2020-07-01T13:25:28.000Z","anemometer","wind_speed_min","km/h",2.22
"2020-07-01T13:30:15.000Z","anemometer","wind_speed_min","km/h",3.05
