"created","id_sensor","type","unit","value"
"2020-07-01T00:00:13.000Z","thermometer","temperature_average","°C",17.16
"2020-07-01T00:05:14.000Z","thermometer","temperature_average","°C",17.18
"2020-07-01T00:10:13.000Z","thermometer","temperature_average","°C",17.08
"2020-07-01T00:15:15.000Z","thermometer","temperature_average","°C",16.95
"2020-07-01T00:20:13.000Z","thermometer","temperature_average","°C",16.83
"2020-07-01T00:25:13.000Z","thermometer","temperature_average","°C",16.78
"2020-07-01T00:30:28.000Z","thermometer","temperature_average","°C",16.83
"2020-07-01T00:35:15.000Z","thermometer","temperature_average","°C",16.81
"2020-07-01T00:40:13.000Z","thermometer","temperature_average","°C",16.85
"2020-07-01T00:45:13.000Z","thermometer","temperature_average","°C",16.96
"2020-07-01T00:50:14.000Z","thermometer","temperature_average","°C",17.02
"2020-07-01T00:55:13.000Z","thermometer","temperature_average","°C",17.08
"2020-07-01T01:00:14.000Z","thermometer","temperature_average","°C",17.09
"2020-07-01T01:05:14.000Z","thermometer","temperature_average","°C",17.13
"2020-07-01T01:10:13.000Z","thermometer","temperature_average","°C",17.19
"2020-07-01T01:15:14.000Z","thermometer","temperature_average","°C",17.2
"2020-07-01T01:20:13.000Z","thermometer","temperature_average","°C",17.12
"2020-07-01T01:25:15.000Z","thermometer","temperature_average","°C",17.02
"2020-07-01T01:30:12.000Z","thermometer","temperature_average","°C",16.86
"2020-07-01T01:35:14.000Z","thermometer","temperature_average","°C",16.6
"2020-07-01T01:40:13.000Z","thermometer","temperature_average","°C",16.55
"2020-07-01T01:45:15.000Z","thermometer","temperature_average","°C",16.55
"2020-07-01T01:50:13.000Z","thermometer","temperature_average","°C",16.42
"2020-07-01T01:55:13.000Z","thermometer","temperature_average","°C",16.38
"2020-07-01T02:00:14.000Z","thermometer","temperature_average","°C",16.4
"2020-07-01T02:05:13.000Z","thermometer","temperature_average","°C",16.55
"2020-07-01T02:10:14.000Z","thermometer","temperature_average","°C",16.5
"2020-07-01T02:15:13.000Z","thermometer","temperature_average","°C",16.49
"2020-07-01T02:20:15.000Z","thermometer","temperature_average","°C",16.53
"2020-07-01T02:25:13.000Z","thermometer","temperature_average","°C",16.56
"2020-07-01T02:30:13.000Z","thermometer","temperature_average","°C",16.52
"2020-07-01T02:35:14.000Z","thermometer","temperature_average","°C",16.55
"2020-07-01T02:40:15.000Z","thermometer","temperature_average","°C",16.74
"2020-07-01T02:45:15.000Z","thermometer","temperature_average","°C",17.07
"2020-07-01T02:50:12.000Z","thermometer","temperature_average","°C",17.34
"2020-07-01T02:55:15.000Z","thermometer","temperature_average","°C",17.56
"2020-07-01T03:00:12.000Z","thermometer","temperature_average","°C",17.6
"2020-07-01T03:05:15.000Z","thermometer","temperature_average","°C",17.65
"2020-07-01T03:10:28.000Z","thermometer","temperature_average","°C",17.79
"2020-07-01T03:15:14.000Z","thermometer","temperature_average","°C",17.9
"2020-07-01T03:20:13.000Z","thermometer","temperature_average","°C",17.9
