"created","id_sensor","type","unit","value"
"2020-10-01T00:00:14.000Z","humidity_sensor","humidity_average","%",94.89
"2020-10-01T00:05:15.000Z","humidity_sensor","humidity_average","%",94.94
"2020-10-01T00:10:13.000Z","humidity_sensor","humidity_average","%",94.98
"2020-10-01T00:15:13.000Z","humidity_sensor","humidity_average","%",94.99
"2020-10-01T00:20:22.000Z","humidity_sensor","humidity_average","%",94.97
"2020-10-01T00:25:13.000Z","humidity_sensor","humidity_average","%",94.98
"2020-10-01T00:30:13.000Z","humidity_sensor","humidity_average","%",95.03
"2020-10-01T00:35:14.000Z","humidity_sensor","humidity_average","%",95.07
"2020-10-01T00:40:13.000Z","humidity_sensor","humidity_average","%",95.03
"2020-10-01T00:45:15.000Z","humidity_sensor","humidity_average","%",95.06
"2020-10-01T00:50:13.000Z","humidity_sensor","humidity_average","%",95.08
"2020-10-01T00:55:13.000Z","humidity_sensor","humidity_average","%",95.07
"2020-10-01T01:00:14.000Z","humidity_sensor","humidity_average","%",95.08
"2020-10-01T01:05:13.000Z","humidity_sensor","humidity_average","%",95.16
"2020-10-01T01:10:14.000Z","humidity_sensor","humidity_average","%",95.2
"2020-10-01T01:15:13.000Z","humidity_sensor","humidity_average","%",95.22
"2020-10-01T01:20:14.000Z","humidity_sensor","humidity_average","%",95.2
"2020-10-01T01:25:13.000Z","humidity_sensor","humidity_average","%",95.21
"2020-10-01T01:30:15.000Z","humidity_sensor","humidity_average","%",95.21
"2020-10-01T01:35:13.000Z","humidity_sensor","humidity_average","%",95.21
"2020-10-01T01:40:13.000Z","humidity_sensor","humidity_average","%",95.24
"2020-10-01T01:45:14.000Z","humidity_sensor","humidity_average","%",95.26
"2020-10-01T01:50:14.000Z","humidity_sensor","humidity_average","%",95.3
"2020-10-01T01:55:14.000Z","humidity_sensor","humidity_average","%",95.31
"2020-10-01T02:00:16.000Z","humidity_sensor","humidity_average","%",95.31
"2020-10-01T02:05:13.000Z","humidity_sensor","humidity_average","%",95.32
"2020-10-01T02:10:30.000Z","humidity_sensor","humidity_average","%",95.35
"2020-10-01T02:15:12.000Z","humidity_sensor","humidity_average","%",95.36
"2020-10-01T02:20:14.000Z","humidity_sensor","humidity_average","%",95.35
"2020-10-01T02:25:13.000Z","humidity_sensor","humidity_average","%",95.4
"2020-10-01T02:30:15.000Z","humidity_sensor","humidity_average","%",95.38
"2020-10-01T02:35:13.000Z","humidity_sensor","humidity_average","%",95.4
"2020-10-01T02:40:18.000Z","humidity_sensor","humidity_average","%",95.44
"2020-10-01T02:45:13.000Z","humidity_sensor","humidity_average","%",95.44
"2020-10-01T02:50:13.000Z","humidity_sensor","humidity_average","%",95.5
"2020-10-01T02:55:15.000Z","humidity_sensor","humidity_average","%",95.53
"2020-10-01T03:00:13.000Z","humidity_sensor","humidity_average","%",95.49
"2020-10-01T03:05:13.000Z","humidity_sensor","humidity_average","%",95.47
"2020-10-01T03:10:14.000Z","humidity_sensor","humidity_average","%",95.36
"2020-10-01T03:15:13.000Z","humidity_sensor","humidity_average","%",95.38
"2020-10-01T03:20:13.000Z","humidity_sensor","humidity_average","%",95.55
"2020-10-01T03:25:15.000Z","humidity_sensor","humidity_average","%",95.72
"2020-10-01T03:30:13.000Z","humidity_sensor","humidity_average","%",95.74
