"created","id_sensor","type","unit","value"
"2020-10-01T00:00:05.000Z","TN01_W_1","soil_water","m3/m3",0.28
"2020-10-01T00:00:05.000Z","TN01_W_0","soil_water","m3/m3",0.257
"2020-10-01T00:01:05.000Z","TN02_W_0","soil_water","m3/m3",0.214
"2020-10-01T00:01:05.000Z","TN02_W_1","soil_water","m3/m3",0.207
"2020-10-01T00:02:05.000Z","TN03_W_1","soil_water","m3/m3",0.248
"2020-10-01T00:02:05.000Z","TN03_W_0","soil_water","m3/m3",0.154
"2020-10-01T00:04:05.000Z","TN05_W_1","soil_water","m3/m3",0.199
"2020-10-01T00:04:05.000Z","TN05_W_0","soil_water","m3/m3",0.166
"2020-10-01T00:05:05.000Z","TN06_W_0","soil_water","m3/m3",0.225
"2020-10-01T00:05:05.000Z","TN06_W_1","soil_water","m3/m3",0.2
"2020-10-01T00:06:05.000Z","TN07_W_1","soil_water","m3/m3",0.173
"2020-10-01T00:06:05.000Z","TN07_W_0","soil_water","m3/m3",0.163
"2020-10-01T00:07:05.000Z","TN08_W_1","soil_water","m3/m3",0.182
"2020-10-01T00:07:05.000Z","TN08_W_0","soil_water","m3/m3",0.163
"2020-10-01T00:08:05.000Z","TN09_W_1","soil_water","m3/m3",0.175
"2020-10-01T00:08:05.000Z","TN09_W_0","soil_water","m3/m3",0.218
"2020-10-01T00:15:05.000Z","TN01_W_0","soil_water","m3/m3",0.257
"2020-10-01T00:15:05.000Z","TN01_W_1","soil_water","m3/m3",0.28
"2020-10-01T00:16:05.000Z","TN02_W_1","soil_water","m3/m3",0.207
"2020-10-01T00:16:05.000Z","TN02_W_0","soil_water","m3/m3",0.213
"2020-10-01T00:17:05.000Z","TN03_W_0","soil_water","m3/m3",0.154
"2020-10-01T00:17:05.000Z","TN03_W_1","soil_water","m3/m3",0.248
"2020-10-01T00:19:05.000Z","TN05_W_0","soil_water","m3/m3",0.166
"2020-10-01T00:19:05.000Z","TN05_W_1","soil_water","m3/m3",0.199
"2020-10-01T00:20:05.000Z","TN06_W_1","soil_water","m3/m3",0.2
"2020-10-01T00:20:05.000Z","TN06_W_0","soil_water","m3/m3",0.225
"2020-10-01T00:21:05.000Z","TN07_W_1","soil_water","m3/m3",0.173
"2020-10-01T00:21:05.000Z","TN07_W_0","soil_water","m3/m3",0.163
"2020-10-01T00:22:05.000Z","TN08_W_1","soil_water","m3/m3",0.182
"2020-10-01T00:22:05.000Z","TN08_W_0","soil_water","m3/m3",0.163
"2020-10-01T00:23:05.000Z","TN09_W_0","soil_water","m3/m3",0.218
"2020-10-01T00:23:05.000Z","TN09_W_1","soil_water","m3/m3",0.175
