"created","id_sensor","type","unit","value"
"2020-10-01T00:00:14.000Z","thermometer","temperature_max","°C",10.42
"2020-10-01T00:05:15.000Z","thermometer","temperature_max","°C",10.45
"2020-10-01T00:10:13.000Z","thermometer","temperature_max","°C",10.53
"2020-10-01T00:15:13.000Z","thermometer","temperature_max","°C",10.56
"2020-10-01T00:20:22.000Z","thermometer","temperature_max","°C",10.48
"2020-10-01T00:25:13.000Z","thermometer","temperature_max","°C",10.45
"2020-10-01T00:30:13.000Z","thermometer","temperature_max","°C",10.46
"2020-10-01T00:35:14.000Z","thermometer","temperature_max","°C",10.47
"2020-10-01T00:40:13.000Z","thermometer","temperature_max","°C",10.44
"2020-10-01T00:45:15.000Z","thermometer","temperature_max","°C",10.38
"2020-10-01T00:50:13.000Z","thermometer","temperature_max","°C",10.38
"2020-10-01T00:55:13.000Z","thermometer","temperature_max","°C",10.31
"2020-10-01T01:00:14.000Z","thermometer","temperature_max","°C",10.25
"2020-10-01T01:05:13.000Z","thermometer","temperature_max","°C",10.31
"2020-10-01T01:10:14.000Z","thermometer","temperature_max","°C",10.35
"2020-10-01T01:15:13.000Z","thermometer","temperature_max","°C",10.4
"2020-10-01T01:20:14.000Z","thermometer","temperature_max","°C",10.36
"2020-10-01T01:25:13.000Z","thermometer","temperature_max","°C",10.36
"2020-10-01T01:30:15.000Z","thermometer","temperature_max","°C",10.36
"2020-10-01T01:35:13.000Z","thermometer","temperature_max","°C",10.34
"2020-10-01T01:40:13.000Z","thermometer","temperature_max","°C",10.28
"2020-10-01T01:45:14.000Z","thermometer","temperature_max","°C",10.28
"2020-10-01T01:50:14.000Z","thermometer","temperature_max","°C",10.3
"2020-10-01T01:55:14.000Z","thermometer","temperature_max","°C",10.3
"2020-10-01T02:00:16.000Z","thermometer","temperature_max","°C",10.28
"2020-10-01T02:05:13.000Z","thermometer","temperature_max","°C",10.29
"2020-10-01T02:10:30.000Z","thermometer","temperature_max","°C",10.31
"2020-10-01T02:15:12.000Z","thermometer","temperature_max","°C",10.32
"2020-10-01T02:20:14.000Z","thermometer","temperature_max","°C",10.32
"2020-10-01T02:25:13.000Z","thermometer","temperature_max","°C",10.34
"2020-10-01T02:30:15.000Z","thermometer","temperature_max","°C",10.26
"2020-10-01T02:35:13.000Z","thermometer","temperature_max","°C",10.26
"2020-10-01T02:40:18.000Z","thermometer","temperature_max","°C",10.31
"2020-10-01T02:45:13.000Z","thermometer","temperature_max","°C",10.32
"2020-10-01T02:50:13.000Z","thermometer","temperature_max","°C",10.43
"2020-10-01T02:55:15.000Z","thermometer","temperature_max","°C",10.5
"2020-10-01T03:00:13.000Z","thermometer","temperature_max","°C",10.49
"2020-10-01T03:05:13.000Z","thermometer","temperature_max","°C",10.42
"2020-10-01T03:10:14.000Z","thermometer","temperature_max","°C",10.26
"2020-10-01T03:15:13.000Z","thermometer","temperature_max","°C",10.02
"2020-10-01T03:20:13.000Z","thermometer","temperature_max","°C",10.32
"2020-10-01T03:25:15.000Z","thermometer","temperature_max","°C",10.69
"2020-10-01T03:30:13.000Z","thermometer","temperature_max","°C",10.89
"2020-10-01T03:35:14.000Z","thermometer","temperature_max","°C",11
"2020-10-01T03:40:13.000Z","thermometer","temperature_max","°C",11.1
"2020-10-01T03:45:15.000Z","thermometer","temperature_max","°C",11.24
"2020-10-01T03:50:14.000Z","thermometer","temperature_max","°C",11.3
"2020-10-01T03:55:12.000Z","thermometer","temperature_max","°C",11.37
"2020-10-01T04:00:14.000Z","thermometer","temperature_max","°C",11.46
"2020-10-01T04:05:13.000Z","thermometer","temperature_max","°C",11.55
"2020-10-01T04:10:14.000Z","thermometer","temperature_max","°C",11.6
"2020-10-01T04:15:13.000Z","thermometer","temperature_max","°C",11.6
"2020-10-01T04:20:15.000Z","thermometer","temperature_max","°C",11.62
"2020-10-01T04:25:12.000Z","thermometer","temperature_max","°C",11.66
"2020-10-01T04:30:15.000Z","thermometer","temperature_max","°C",11.71
"2020-10-01T04:35:13.000Z","thermometer","temperature_max","°C",11.76
"2020-10-01T04:40:14.000Z","thermometer","temperature_max","°C",11.8
"2020-10-01T04:45:13.000Z","thermometer","temperature_max","°C",11.88
"2020-10-01T04:50:15.000Z","thermometer","temperature_max","°C",11.85
"2020-10-01T04:55:13.000Z","thermometer","temperature_max","°C",11.84
"2020-10-01T05:00:13.000Z","thermometer","temperature_max","°C",11.89
"2020-10-01T05:05:14.000Z","thermometer","temperature_max","°C",11.95
"2020-10-01T05:10:13.000Z","thermometer","temperature_max","°C",11.96
"2020-10-01T05:15:15.000Z","thermometer","temperature_max","°C",11.98
"2020-10-01T05:20:13.000Z","thermometer","temperature_max","°C",12.07
"2020-10-01T05:25:14.000Z","thermometer","temperature_max","°C",12.23
"2020-10-01T05:30:13.000Z","thermometer","temperature_max","°C",12.25
"2020-10-01T05:35:13.000Z","thermometer","temperature_max","°C",12.24
"2020-10-01T05:40:14.000Z","thermometer","temperature_max","°C",12.2
"2020-10-01T05:45:13.000Z","thermometer","temperature_max","°C",12.24
"2020-10-01T05:50:14.000Z","thermometer","temperature_max","°C",12.37
"2020-10-01T05:55:13.000Z","thermometer","temperature_max","°C",12.46
"2020-10-01T06:00:14.000Z","thermometer","temperature_max","°C",12.52
"2020-10-01T06:05:13.000Z","thermometer","temperature_max","°C",12.52
"2020-10-01T06:10:14.000Z","thermometer","temperature_max","°C",12.6
"2020-10-01T06:15:14.000Z","thermometer","temperature_max","°C",12.81
"2020-10-01T06:20:13.000Z","thermometer","temperature_max","°C",13
"2020-10-01T06:25:15.000Z","thermometer","temperature_max","°C",13.13
"2020-10-01T06:30:13.000Z","thermometer","temperature_max","°C",13.47
"2020-10-01T06:35:13.000Z","thermometer","temperature_max","°C",14.46
"2020-10-01T06:40:15.000Z","thermometer","temperature_max","°C",14.68
"2020-10-01T06:45:12.000Z","thermometer","temperature_max","°C",14.5
"2020-10-01T06:50:31.000Z","thermometer","temperature_max","°C",14.9
"2020-10-01T06:55:12.000Z","thermometer","temperature_max","°C",15.42
"2020-10-01T07:00:14.000Z","thermometer","temperature_max","°C",15.56
"2020-10-01T07:05:14.000Z","thermometer","temperature_max","°C",15.32
"2020-10-01T07:10:13.000Z","thermometer","temperature_max","°C",15.13
"2020-10-01T07:10:13.000Z","thermometer","temperature_max","°C",15.13
"2020-10-01T07:15:31.000Z","thermometer","temperature_max","°C",14.96
"2020-10-01T07:20:12.000Z","thermometer","temperature_max","°C",14.52
"2020-10-01T07:25:15.000Z","thermometer","temperature_max","°C",14.36
"2020-10-01T07:30:24.000Z","thermometer","temperature_max","°C",14.25
"2020-10-01T07:35:12.000Z","thermometer","temperature_max","°C",14.06
"2020-10-01T07:40:14.000Z","thermometer","temperature_max","°C",14.34
"2020-10-01T07:45:13.000Z","thermometer","temperature_max","°C",14.2
"2020-10-01T07:50:14.000Z","thermometer","temperature_max","°C",14.23
"2020-10-01T07:55:13.000Z","thermometer","temperature_max","°C",14.58
"2020-10-01T08:00:14.000Z","thermometer","temperature_max","°C",14.98
"2020-10-01T08:05:14.000Z","thermometer","temperature_max","°C",14.69
"2020-10-01T08:10:14.000Z","thermometer","temperature_max","°C",14.7
"2020-10-01T08:15:13.000Z","thermometer","temperature_max","°C",14.74
"2020-10-01T08:20:13.000Z","thermometer","temperature_max","°C",14.83
"2020-10-01T08:25:14.000Z","thermometer","temperature_max","°C",14.7
"2020-10-01T08:30:14.000Z","thermometer","temperature_max","°C",14.8
"2020-10-01T08:35:13.000Z","thermometer","temperature_max","°C",15.15
"2020-10-01T08:40:14.000Z","thermometer","temperature_max","°C",15.38
"2020-10-01T08:45:31.000Z","thermometer","temperature_max","°C",15.88
"2020-10-01T08:50:12.000Z","thermometer","temperature_max","°C",15.89
"2020-10-01T08:55:13.000Z","thermometer","temperature_max","°C",15.64
"2020-10-01T09:00:14.000Z","thermometer","temperature_max","°C",15.9
"2020-10-01T09:05:14.000Z","thermometer","temperature_max","°C",16.16
"2020-10-01T09:10:14.000Z","thermometer","temperature_max","°C",16.57
