"created","id_sensor","type","unit","value"
"2020-11-01T00:00:13.000Z","anemometer","wind_dir","degrees",122
"2020-11-01T00:05:13.000Z","anemometer","wind_dir","degrees",122
"2020-11-01T00:10:15.000Z","anemometer","wind_dir","degrees",100.1
"2020-11-01T00:15:12.000Z","anemometer","wind_dir","degrees",55.2
"2020-11-01T00:20:14.000Z","anemometer","wind_dir","degrees",41.6
"2020-11-01T00:25:14.000Z","anemometer","wind_dir","degrees",39
"2020-11-01T00:30:13.000Z","anemometer","wind_dir","degrees",38.6
"2020-11-01T00:35:31.000Z","anemometer","wind_dir","degrees",38
"2020-11-01T00:45:14.000Z","anemometer","wind_dir","degrees",38
"2020-11-01T00:50:14.000Z","anemometer","wind_dir","degrees",38
"2020-11-01T00:55:13.000Z","anemometer","wind_dir","degrees",38
"2020-11-01T01:00:14.000Z","anemometer","wind_dir","degrees",38
"2020-11-01T01:05:13.000Z","anemometer","wind_dir","degrees",38
"2020-11-01T01:10:15.000Z","anemometer","wind_dir","degrees",38
"2020-11-01T01:15:12.000Z","anemometer","wind_dir","degrees",38
"2020-11-01T01:20:14.000Z","anemometer","wind_dir","degrees",38
"2020-11-01T01:25:14.000Z","anemometer","wind_dir","degrees",38
"2020-11-01T01:30:13.000Z","anemometer","wind_dir","degrees",38
"2020-11-01T01:35:15.000Z","anemometer","wind_dir","degrees",38
"2020-11-01T01:40:12.000Z","anemometer","wind_dir","degrees",38
"2020-11-01T01:45:15.000Z","anemometer","wind_dir","degrees",38
"2020-11-01T01:50:13.000Z","anemometer","wind_dir","degrees",38
"2020-11-01T01:55:13.000Z","anemometer","wind_dir","degrees",38
"2020-11-01T02:00:31.000Z","anemometer","wind_dir","degrees",47.4
"2020-11-01T02:05:12.000Z","anemometer","wind_dir","degrees",88.2
"2020-11-01T02:10:14.000Z","anemometer","wind_dir","degrees",89.6
"2020-11-01T02:15:13.000Z","anemometer","wind_dir","degrees",91
"2020-11-01T02:20:15.000Z","anemometer","wind_dir","degrees",91.2
"2020-11-01T02:25:13.000Z","anemometer","wind_dir","degrees",91
"2020-11-01T02:30:13.000Z","anemometer","wind_dir","degrees",91.2
"2020-11-01T02:35:15.000Z","anemometer","wind_dir","degrees",91
"2020-11-01T02:40:12.000Z","anemometer","wind_dir","degrees",91
"2020-11-01T02:45:15.000Z","anemometer","wind_dir","degrees",91
"2020-11-01T02:50:12.000Z","anemometer","wind_dir","degrees",91
"2020-11-01T02:55:14.000Z","anemometer","wind_dir","degrees",91
"2020-11-01T03:00:14.000Z","anemometer","wind_dir","degrees",91
"2020-11-01T03:05:13.000Z","anemometer","wind_dir","degrees",91
